Title,Ingredients,Steps,Author,Servings,Link
#814. Sambal Goreng Kentang Tahu,"['500 gr kentang kupas potong dadu cuci goreng matang', '5 buah tahu kuning potong dadu cuci goreng matang', 'Secukupnya minyak goreng', ' Bumbu :', '3 buah cabe merah besar', '4 buah cabe merah keriting', '3 buah cabe rawit merah (opsi)', '6 buah bawang merah', '3 buah bawang putih', '4 butir kemiri sangrai (opsi)', '1/2 buah tomat (opsi)', '1/2 buah bawang bombay cincang kasar', '2 lembar daun salam', '2 lembar daun jeruk (opsi)', '1 batang serai memarkan', '3 cm lengkuas memarkan', '1 sdt garam', '1,5 sdt gula pasir (sesuai selera)', '1 sdt kaldu bubuk', '65 ml santan (opsi)', '100 ml air panas']","['Siapkan semua bahan panaskan minyak goreng kentang dan tahu sampai matang angkat tiriskan', 'Haluskan bumbu kecuali bumbu aromatik panaskan 4 sdm minyak goreng tumis bawang bombay sampai layu masukkan bumbu halus dan bumbu aromatik aduk² sampai harum dan matang juga mengeluarkan aroma', 'Tuang sedikit air (saya tidak pakai santan) ke dalam bumbu beri garam, gula dan kaldu bubuk aduk rata masukkan kentang juga tahu aduk kembali sampai terbalut bumbu biarkan bumbu meresap dan air menyusut koreksi rasa jika sudah pas angkat sajikan dan nikmati selagi masih hangat']",Dapoer Ciptasari (Memasaklah dgn hati dan cinta),Sedang,https://cookpad.com/id/resep/25782887
Sambal Terasi Kukus,"['5 Cabe merah keriting', '5 Cabe rawit', '1 Buah tomat ukuran sedang', '4 Siung bawang merah', '2 Siung bawang putih', '1 Kotak terasi ABC', 'sesuai selera Garam', 'sesuai selera Gula', 'sesuai selera Penyedap', ' Lalapan Rebusan', '1 Terong ungu ukuran sedang', '1 Pare ukuran sedang']","['Cuci bersih bahan untuk sambal, lalu potong2.', 'Masukan semua bahan sambal dan terasi kedalam mangkuk', 'Cuci bersih terong dan pare, lalu potong2. Tips supaya pare gak begitu pahit, wajib cuci dulu sampe bersih sebelum dipotong2. Intinya jangan sampai terkena air setelah dipotong2.', 'Lalu kukus semua bahan sambal dan lalapan selama kurang lebih tiga puluh menit.', 'Setelah matang, uleg bahan sambal,, lalu siap dihidangkan bersama lalapan, tahu tempe goreng dan telur dadar.. selamat menikmati 🤗']",Dhian Rahma,Unknown,https://cookpad.com/id/resep/25803268
Tahu Bakso Sambal Kacang,"['20 buah tahu coklat segitiga', '250 gr ayam giling', '200 gr tepung tapioka Rose Brand', '3 siung bawang putih cincang/haluskan', '1 batang daun bawang iris tipis', '2 sdm bawang goreng', '1 sdt garam', '1 sdm gula pasir Rose Brand', '1/2 sdt Micin Asatu Rose Brand', '1/2 sdt lada bubuk', '2 butir putih telur', '50 ml air es', ' Sambal/saus kacang', '250 gr kacang tanah', 'Secukupnya minyak goreng', '10 buah cabai rawit', '10 buah cabai merah keriting', '1 sdt garam', '2 sdt Gula Pasir Rose Brand', '2 sdm cuka masak', '1/2 sdt Micin Asatu Rose Brand', '200 ml air']","['Ambil 1 tahu kerat seperti gambar beri isian sampai penuh, lakukan hingga selesai', 'Siapkan semua bahan baso Aci, dalam wadah tuang semua bahan isian kecuali tambahkan Micin Asatu Rose Brand dan Gula Pasir Rose Brand aduk merata.', 'Tata di panci kukus oles dasarnya dengan minyak supaya tidak lengket, kukus di api sedang selama 20 menit. Setelah matang sajikan hangat bersama saus kacang/ sambal kecap/saus botolan. Favorit saya dengan saus kacang 🥜🥜', 'Bisa juga goreng dahulu seperti batagor, sebelum di sajikan.', 'Selagi menunggu di kukus buat saus nya, haluskan kacang yang sudah di goreng dan cabai, beri sedikit minyak untuk membantu proses penghalusan. Siapkan bersama bahan lainnya. Panaskan secukupnya minyak tuang kacang beri air aduk merata', 'Tambahkan Micin Asatu Rose, Gula Pasir Rose Brand dan bumbu lain koreksi rasa masak hingga harum dan tanak. Tambahkan air jika di rasa terlalu kental']",Ummu Isa,20 pcs,https://cookpad.com/id/resep/25389398
Sambal Buncis Udang Rebon,"['300 gr buncis muda', '50 gr tempe goreng', '1 SM saus tiram', 'secukupnya Garam dan kaldu bubuk', '150 gr air matang', 'Secukupnya minyak', '1 SM udang rebon', '5 buah cabe rawit merah', '3 buah cabe merah', '4 siung bawang merah', '5 siung bawang putih', '1 sdt terasi goreng']","['Siangi, potong dan bersihkan buncis, cuci dan tiriskan udang rebon, siapkan tempe goreng', 'Panaskan minyak. Blend bumbu hingga halus, kemudian goreng hingga matang dan berminyak', 'Masukkan buncis aduk hingga tercampur rata, tuang air biarkan mendidih', 'Beri saus tiram, garam dan bumbu kaldu secukupnya biarkan proses memasak dan bumbu meresap', 'Setelah kuah agak susut dan buncis lunak, masukkan tempe, aduk hingga tercampur rata, koreksi rasa, matikan kompor', 'Sajikan....']",Chiensyn Kuliner  ,4 porsi,https://cookpad.com/id/resep/25280995
Soto Kuah Bening Rumahan 🍲,"['250 gram daging ayam atau sapi', '1 liter air', '2 siung bawang putih', '3 siung bawang merah', '1 butir kemiri', '1 batang daun bawang', 'secukupnya Seledri', 'secukupnya Kol iris', 'secukupnya Tauge', '1 buah Tomat', 'secukupnya Garam', 'secukupnya Penyedap atau kaldu jamur', 'secukupnya Merica bubuk', 'secukupnya Minyak untuk menumis', ' Pelengkap: Bawang goreng, Jeruk nipis, Sambal, Mie soun, atau bihun (opsional)']","['Rebus daging atau ayam hingga matang dan empuk, lalu sisihkan kaldunya.', 'Haluskan bawang merah, bawang putih, dan kemiri.', 'Tumis bumbu halus sampai harum dan matang.', 'Masukkan tumisan ke dalam kuah kaldu.', 'Tambahkan garam, penyedap, merica, dan sedikit pala bubuk.', 'Masukkan potongan tomat, kol, dan tauge.', 'Masak sebentar agar sayur tetap segar dan renyah.', 'Tambahkan daun bawang dan seledri di akhir agar aroma tetap harum.', 'Sajikan dengan bawang goreng, sambal, dan jeruk nipis.']",fani_cookingday,2 orang,https://cookpad.com/id/resep/25802027
Pancong Bulat,"['200 gram Tepung Beras Rose Brand', '2 sdm terigu', '300 gram kelapa parut', '1 sdt garam', '600 ml santan (2 bungkus Santan Rose Brand @65 ml + air)', 'Secukupnya Minyak Goreng Rose Brand']","['Siapkan bahan2nya Gula Pasir, Tepung Beras, Santan dan Minyak Goreng dari Rose Brand, lalu timbang dan takar sesuai resep', 'Di wadah campur Tepung Beras Rose Brand, terigu, kelapa parut dan garam aduk rata, tuang Santan Rose Brand yang sdh dicampur air secara bertahap lalu aduk rata', 'Panaskan cetakan lalu oles cetakan dengan Minyak Goreng Rose Brand tipis2 saja, isi cetakan dengan adonan lalu tutup sampai setengah matang', 'Kemudian taburi atasnya dengan Gula Pasir Rose Brand kemudian tutup lagi sampai matang, setelah matang angkat', 'Kuenya enak lembut, gurih dan manis dibagian atasnya, yuk dicoba 😍']",Dapur Dien,14 pcs,https://cookpad.com/id/resep/25799737
Gulai Nangka Khas Padang,"['500 g nangka rebus', '2 saset santan rose brand', '2 lembar daun jeruk', '2 batang sereh', '1 bungkus bumbu gulai siap pakai', '1 sdm garam', '1 sdm gula pasir rose brand', '1/2 sdm micin A satu rose brand']","['Siapkan bahan,tumis bumbu siap masak sampe wangi lalu tambahkan minyak goreng,masak sampe matang lalu masukkan nangkanya aduk tambahkan garam gula dan kaldu bubuk,A satu rose brand', 'Aduk tambahkan santannya,masak lg matang cek rasa angkat', 'Sajikan']","Yuni Kurniasih,",10 porsi,https://cookpad.com/id/resep/25800565
Es Teh Asam Jawa,"['250 ml Air', '1 kantong Teh celup', '1 sdm Asam jawa', '36 g Gula merah (1 keping)', 'Sejumput Garam', 'Secukupnya Gula pasir', 'Secukupnya Es batu']","['Siapkan bahan yang dibutuhkan. Campurkan dalam panci air, garam, gula merah dan asam jawa.', 'Masak sambil diaduk hingga gula larut, masukkan teh celup, tunggu sampai berubah warna.', 'Masak hingga mendidih, angkat. Tes rasa, jika kurang tambahkan gula pasir sesuai selera.', 'Saring ke dalam wadah. Siapkan es batu secukupnya dalam gelas, tuang larutan teh.', 'Es Teh Asam Jawa siap dinikmati. Perpaduan rasa manis dan asam menyatu jadi satu, seger betul 😍']",bundanyakembar,1 orang,https://cookpad.com/id/resep/25799612
Telur Balado,"['2 butir Telur', '8 Bh Cabe Keriting', '3 Bh Cabe Rawit Merah', '8 Siung Bawang Merah', '1 Bh Tomat', 'Secukupnya Garam', 'Secukupnya Merica', 'Secukupnya Kaldu Jamur']","['Goreng telur kemudian sisihkan', 'Iris 2 bh bawang merah lalu sisihkan', 'Haluskan cabe, bawang merah, tomat lalu sisihkan', 'Tumis irisan bawang merah hingga wangi, setelah wangi masukkan bumbu halus lalu tumis hingga matang atau tanak atau pecah minyak. Kemudian beri bumbu garam, merica dan kaldu jamur', 'Setelah itu, masukkan telur dan aduk merata.', 'Telur Balado siap disantap.']",Yelli Taneh,Unknown,https://cookpad.com/id/resep/25800794
Paru Balado,"['500 g Paru sapi', '2 sdm Asam Jawa', '3 batang Serai (geprek)', '7 lembar Daun salam', '1 sdm Garam', '20 buah Cabai merah keriting', '10 buah Cabai rawit merah', '6 siung Bawang merah', '3 siung Bawang putih', '1 buah Tomat', '1 sdt Gula pasir', '200 ml (untuk menggoreng paru) Minyak goreng']","['Potong dan bersihkan paru, lalu rebus dengan asam Jawa, serai, daun salam, dan 1 sdm garam hingga empuk. Tiriskan iris sesuai selera', 'Goreng paru dalam minyak panas.', 'Haluskan cabai, bawang merah, bawang putih, dan tomat. Saya blender kasar saja.', 'Tumis bumbu halus hingga harum dan matang.', 'Masukkan secukupnya garam, gula, dan kaldu bubuk aduk rata. Test rasa', 'Masukkan paru goreng, aduk hingga paru terbalut sambal.', 'Angkat dan sajikan.']",Deby Chintia,2 porsi,https://cookpad.com/id/resep/25800385
Gulai ayam kentang,"['750 gr ayam, potong', '1 buah kentang, potong sedang', '1 lembar daun kunyit', '1 batang sereh, geprek', '2 lembar daun jeruk', '1 lembar daun salam', '1 jempol lengkuas, geprek', '1 sendok teh garam', 'sejumput gula', '800 ml air', '120 ml santan instan', '6 siung bawang merah', '1 siung bawang putih', '2 ruas jahe', '1 jempol kunyit', '1 kemiri']","['Masukkan bumbu halus dan semua bahan (kecuali ayam) ke dalam wajan, masak hingga mendidih', 'Masukkan santan dan aduk rata', 'Masukkan ayam masak hingga ayam matang (+- 30 menit dengan api sedang relatif kecil, biar lebih ngaldu)', 'Masukkan kentang dan masak hingga matang', 'Ayam gulai siap dinikmati']",Al Yusra,5 porsi,https://cookpad.com/id/resep/25800106
Sate Lilit Ayam,"['288 gr dada ayam cincang', '60 gr Santan kental', 'Secukupnya garam dan kaldu jamur', ' Minyak kelapa', ' Bumbu halus :', '2 siung bawang merah', '3 siung bawang putih', '1 batang sereh', '2 lembar daun jeruk', '3 gr ketumbar', 'Secukupnya kunyit bubuk', 'Secukupnya jahe, lengkuas dan kencur']","['Panaskan wajan, tuang minyak lalu tumis bumbu halus hingga wangi sisihkan', 'Siapkan wadah, masukkan ayam cincang, santan, garam, kaldu jamur dan bumbu yang sudah ditumis aduk rata', 'Disini saya menggunakan sumpit yang dibagi 2, bisa juga menggunakan stik es krim. Bentuk adonan seperti sate', 'Panaskan panggangan, oleskan minyak kelapa lalu panggang hingga matang.']",Hariyanti Ningrum,3 - 4 orang,https://cookpad.com/id/resep/25797473
Sup Ceker Bakso,"['1/4 kg ceker ayam (direbus dulu sampai empuk)', '10 biji bakso', '2 buah wortel', '1 kentang ukuran kecil', '3 buncis', '1/4 potong kol', 'Secukupnya daun bawang', 'Secukupnya seledri', '5 siung bawang putih', ' garam', ' gula', ' lada', '750 ml air']","['Siapkan dan potong sayuran sesuai selera', 'Didihkan air, setelah mendidih masukan wortel dan kentang,', 'Tumis bawang putih yang sudah di geprek hingga harum dan berubah warna, setelah itu masukkan ke dalam kuah yang tadi sudah mendidih', 'Masukkan daun bawang, seledri, ceker dan bakso', 'Setelah itu yang terakhir masukkan buncis, kol dan juga garam gula lada', 'Setelah mendidih kembali cek apakah sayuran sudah matang dan rasa kuah yang sudah sesuai, taburi bawang merah goreng', 'Matikan kompor dan siap disajikan ya bun, sangat cocok dimakan dengan tempe goreng panas dan kerupuk 😄🥰']",Liliana Desy,3 porsi,https://cookpad.com/id/resep/25799629
Sambal Goreng Tahu Tempe (Resep Ibu),"['6 kotak Tahu putih, potong dadu 2cm, goreng kering banget', '1 papan Tempe, potong dadu kecil, goreng kering sampai garing', '7 buah Cabai merah keriting', '2 buah Cabai rawit (kalau suka pedas, tambah rawitnya)', '8 siung Bawang merah', '7 siung Bawang putih (memakai ukuran kecil) bisa di sesuaikan', '1 buah Tomat besar', '1 sdt Terasi bakar', '3 lembar Daun salam', '4 cm Lengkuas, geprek', '2 sdm Gula merah, sisir halus - ini kunci manisnya', '2 sdt Garam', '1 sdt Kaldu jamur', '4 sdm Kecap manis - pakai yang kental, merek Bango', '3 sdm Air asam jawa', '100 ml santan (Kara 65 ml di aduk bersama 35 ml air)', '400 ml Air', 'secukupnya Minyak goreng']","['Siapkan bahan', 'Goreng semua tahu dan tempe sampai kering banget, luarnya garing. Kalau masih lembek, pas dimasak sambal langsung hancur.', 'Tumis bumbu halus pakai api sedang sampai benar-benar wangi dan minyaknya keluar. Masukkan daun salam + lengkuas. Tumis terus sampai bumbu agak kering, ini biar nggak langu. Sekitar 10 menit', 'Masukkan gula merah, garam, kaldu jamur, kecap manis, air asam. Aduk sampai gula larut. Tuang air 400 ml, masak sampai mendidih.', 'Kecilkan api, tuang santan kental. Aduk terus biar nggak pecah. Masak 2 menit sampai kuah agak mengental.', 'Masukkan tahu, tempe. Aduk pelan dari bawah ke atas. Masak pakai api paling kecil sampai kuah menyusut tinggal 30% dan melapisi semua isian. Nggak boleh kering, harus nyemek.', 'Hasilnya: warna merah gelap mengkilat, kuah nyemek melapisi tahu tempe, rasanya manis gurih pedas tipis.']",ATIKA WAHYU,5 porsi makan bareng,https://cookpad.com/id/resep/25799135
Tenggiri Asam Padeh,"['1/4 kg tenggiri lumuri jeruk nipis dan garam lalu cuci bersih', '3 bh cabe merah', '3 bh bawang putih', '6 bh bawang merah', '3 butir kemiri', '1 ruas jahe', '1 sdt kunyit bubuk', '1 batang sereh geprek', '2 jari lengkuas geprek', '2 lembar daun salam', '2 lembar daun jeruk', '3 butir asam', ' Garam', ' gula', ' kaldu jamur', ' lada', ' penyedap']","['Tumis bumbu halus dengan sedikit minyak sampai matang dan berubah warna', 'Masukkan air secukupnya (200ml) boleh lebih, lalu masukkan bumbu cemplung dan bumbu2 lainnya', 'Cek rasa, kalo sudah oke masukkan ikan tutup dengan tutupan panci agar matang merata', 'Masak ikan paling lama 10 menit, cek rasa kembali kalo udah oke matikan api dan siap disajikan 🤗']",priscasaa,2 porsi,https://cookpad.com/id/resep/25799473
Sambal Kacang Siomay,"['250 g kacang tanah', '1 potong gula merah', '2 sdm kecap manis', '1 sdt garam', '1/2 sdm gula pasir Rose Brand', '1/2 sdt A satu msg Rose Brand', 'Secukup Minyak goreng Rose Brand', '100 ml air']","['Siapkan bahan,goreng kacang sampe matang lalu blender sampe halus', 'Masak di wajan tambahkan garam gula mecin dan kecap manis aduk tambahkan air', 'Masak sampe mengental dengan sedikit maizena rose brand,sajikan untuk sambel somay']","Yuni Kurniasih,",4 porsi,https://cookpad.com/id/resep/25799277
Kerak telor,"['2 sdm nasi', '2 telor', '1/2 sdt kaldu bubuk', '1/2 sdt micin A satu Rose Brand', 'secukupnya Minyak Rose Brand', '1 sdm serundeng', '1/4 sdt lada']","['Campurkan nasi dengan lada bubuk dan micin A satu Rose Brand', 'Beri telor,kaldu bubuk dan serundeng', 'Aduk, olesi wajan dengan minyak Rose Brand', 'Setelah panas tuang adonan ke wajan,masak dengan api kecil sampai matang. Sajikan dengan diberi serundeng']",Ratna Rasuan ,1 porsi,https://cookpad.com/id/resep/25799072
Tumis Cesim Bakso Toge,"['3 ikat Cesim', ' Bakso', ' Toge', ' Tomat', ' Bawang Merah', ' Bawang Putih', ' Cabe Merah']","['Seperti biasa potong terlebih dahulu cesim nya dan siapakan perbawangan dan cabe yang sudah di cincang', 'Tumis bamer,baput, cabe terlebih dahulu', 'Lalu kemudian tomat, cesim dan toge. Kemudian tambahkan garam, saos tiram dan sedikit gula hanya untuk menambah rasa. Setelah cesim agak layu masukan bakso yang sudah dipotong² tumis sampai semuanya matang.', 'Dan sajikan dipiring legend ini moms😁']",Apriliani,Unknown,https://cookpad.com/id/resep/25798896
Garang Asem Ayam,"['1 ekor ayam', '3 siung bawang putih', '8 siung bawang merah', '65 ml santan instan', '2 butir kemiri', '1 senti jahe', 'sesuai selera cabe rawit', '2-3 buah belimbing wuluh (saya skip ganti perasan jeruk nipis karena tidak ada)', 'secukupnya Tomat hijau, potong memanjang', 'sesuai selera gula merah, garam dan penyedap', ' daun pisang untuk alas loyang', ' sereh', ' daun jeruk', ' lengkuas', ' daun salam']","['Rebus ayam sampe setengah empuk', 'Haluskan duo bawang, jahe dan kemiri. Tumis sampai wangi. Masukkan bahan cemplung lalu tambahkan santan. Tambahkan garam, gula merah dan penyedap.', 'Tuang ke dalam rebusan ayam tadi.', 'Karena tidak dibungkus, saya pakai loyang untuk mengukus ayam dan kuahnya yang sudah dilapisi daun pisang', 'Tambahkan potongan tomat hijau dan cabe rawit utuh. Kukus sampai ayam benar2 empuk. jangan lupa koreksi rasa ya', 'Sajikan']",ihn ihn,untuk 6- 7 porsi,https://cookpad.com/id/resep/25797811
